community,community_area,population,category,description,total20,total19,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Douglas,35,20000,Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,0,1,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,5,0,0,0,0,0,0,0,0
Douglas,35,20000,Aggravated Assault,AGGRAVATED - HANDGUN,40,4,41,46,42,39,31,5,32,112,37.3,675,700,3.2,-14,20,200,205,230,210,195,155,160,186.5
Douglas,35,20000,Aggravated Assault,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,9,0,16,12,15,16,12,2,12,43,14.3,NA,NA,0,-16,0,45,80,60,75,80,60,60,71.5
Douglas,35,20000,Aggravated Assault,AGGRAVATED - OTHER DANGEROUS WEAPON,8,0,10,10,12,13,9,1,7,34,11.3,NA,NA,-22.2,-38,0,40,50,50,60,65,45,35,56.5
Douglas,35,20000,Aggravated Assault,AGGRAVATED - OTHER FIREARM,0,0,1,2,2,0,4,0,3,6,2,NA,NA,-25,50,0,0,5,10,10,0,20,15,10
Douglas,35,20000,Aggravated Assault,AGGRAVATED PO: HANDGUN,0,1,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,5,0,0,0,0,0,0,0,0
Douglas,35,20000,Aggravated Assault,AGGRAVATED PO:KNIFE/CUT INSTR,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,5,0,0,0,0,0,0,0
Douglas,35,20000,Aggravated Assault,AGGRAVATED POLICE OFFICER - HANDGUN,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,5,0,0,0,0,0,0
Douglas,35,20000,Aggravated Assault,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,1,0,0,0,1,0,0,0,0,1,0.3,NA,NA,NA,-100,0,5,0,0,5,0,0,0,1.5
Douglas,35,20000,Aggravated Assault,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,0,0,3,0,1,2,0,0,0,3,1,NA,NA,NA,-100,0,0,15,0,5,10,0,0,5
Douglas,35,20000,Aggravated Assault,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,0,0,0,0,0,0,2,0,0,2,0.7,NA,NA,-100,-100,0,0,0,0,0,0,10,0,3.5
Douglas,35,20000,Aggravated Assault,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,1,0,0,0,0,0,2,0,2,2,0.7,NA,NA,0,186,0,5,0,0,0,0,10,10,3.5
Douglas,35,20000,Aggravated Assault,AGGRAVATED: HANDGUN,1,18,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,90,5,0,0,0,0,0,0,0
Douglas,35,20000,Aggravated Assault,AGGRAVATED: OTHER DANG WEAPON,1,8,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,40,5,0,0,0,0,0,0,0
Douglas,35,20000,Aggravated Assault,AGGRAVATED:KNIFE/CUTTING INSTR,3,21,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,105,15,0,0,0,0,0,0,0
Douglas,35,20000,Aggravated Battery,AGG PO HANDS ETC SERIOUS INJ,0,1,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,5,0,0,0,0,0,0,0,0
Douglas,35,20000,Aggravated Battery,AGG PRO.EMP: OTHER DANG WEAPON,0,1,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,5,0,0,0,0,0,0,0,0
Douglas,35,20000,Aggravated Battery,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",9,1,6,13,9,7,15,2,15,31,10.3,1400,1400,0,46,5,45,30,65,45,35,75,75,51.5
Douglas,35,20000,Aggravated Battery,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",0,0,1,0,1,1,0,0,0,2,0.7,NA,NA,NA,-100,0,0,5,0,5,5,0,0,3.5
Douglas,35,20000,Aggravated Battery,AGG: HANDS/FIST/FEET SERIOUS INJURY,1,6,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,30,5,0,0,0,0,0,0,0
Douglas,35,20000,Aggravated Battery,AGGRAVATED - HANDGUN,21,6,19,18,16,19,10,1,11,45,15,66.7,83.3,10,-27,30,105,95,90,80,95,50,55,75
Douglas,35,20000,Aggravated Battery,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",2,0,0,1,3,3,3,0,1,9,3,NA,NA,-66.7,-67,0,10,0,5,15,15,15,5,15
Douglas,35,20000,Aggravated Battery,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,7,0,8,8,10,8,3,2,3,21,7,NA,NA,0,-57,0,35,40,40,50,40,15,15,35
Douglas,35,20000,Aggravated Battery,AGGRAVATED - OTHER DANGEROUS WEAPON,13,1,17,18,20,18,30,2,25,68,22.7,2900,2400,-16.7,10,5,65,85,90,100,90,150,125,113.5
Douglas,35,20000,Aggravated Battery,AGGRAVATED - OTHER FIREARM,0,0,0,0,1,1,0,0,0,2,0.7,NA,NA,NA,-100,0,0,0,0,5,5,0,0,3.5
Douglas,35,20000,Aggravated Battery,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,6,0,5,5,5,11,3,3,6,19,6.3,NA,NA,100,-5,0,30,25,25,25,55,15,30,31.5
Douglas,35,20000,Aggravated Battery,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,2,0,8,12,13,8,9,2,9,30,10,NA,NA,0,-10,0,10,40,60,65,40,45,45,50
Douglas,35,20000,Aggravated Battery,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,2,14,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,70,10,0,0,0,0,0,0,0
Douglas,35,20000,Aggravated Battery,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,3,7,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,35,15,0,0,0,0,0,0,0
Douglas,35,20000,Aggravated Battery,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,0,15,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,75,0,0,0,0,0,0,0,0
Douglas,35,20000,Aggravated Battery,AGGRAVATED OF A CHILD,1,1,2,0,1,2,3,2,5,6,2,200,400,66.7,150,5,5,10,0,5,10,15,25,10
Douglas,35,20000,Aggravated Battery,AGGRAVATED OF A SENIOR CITIZEN,4,3,11,9,8,12,8,2,6,28,9.3,166.7,100,-25,-35,15,20,55,45,40,60,40,30,46.5
Douglas,35,20000,Aggravated Battery,"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",1,0,1,0,1,2,1,0,1,4,1.3,NA,NA,0,-23,0,5,5,0,5,10,5,5,6.5
