community,community_area,population,category,total19,total20,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Douglas,35,20000,Aggravated Assault,53,65,72,70,73,70,60,3,59,203,67.7,13.2,11.3,-1.7,-13,265,325,360,350,365,350,300,295,338.5
Douglas,35,20000,Aggravated Battery,89,78,78,86,89,94,90,6,89,273,91,1.1,0,-1.1,-2,445,390,390,430,445,470,450,445,455
Douglas,35,20000,Arson,1,3,2,2,5,3,1,0,1,9,3,0,0,0,-67,5,15,10,10,25,15,5,5,15
Douglas,35,20000,Burglary,35,58,36,38,54,68,98,14,109,220,73.3,180,211.4,11.2,49,175,290,180,190,270,340,490,545,366.5
Douglas,35,20000,Criminal Sexual Abuse,27,13,14,10,11,11,14,2,14,36,12,-48.1,-48.1,0,17,135,65,70,50,55,55,70,70,60
Douglas,35,20000,Criminal Sexual Assault,17,15,19,17,21,19,21,5,22,61,20.3,23.5,29.4,4.8,8,85,75,95,85,105,95,105,110,101.5
Douglas,35,20000,Disorderly Conduct,22,22,12,18,16,26,18,2,20,60,20,-18.2,-9.1,11.1,0,110,110,60,90,80,130,90,100,100
Douglas,35,20000,Drug Abuse,64,45,25,31,27,31,43,4,44,101,33.7,-32.8,-31.2,2.3,31,320,225,125,155,135,155,215,220,168.5
Douglas,35,20000,Embezzlement,1,0,0,0,0,1,0,0,0,1,0.3,-100,-100,NA,-100,5,0,0,0,0,5,0,0,1.5
Douglas,35,20000,Forgery & Counterfeiting,9,8,5,7,16,9,5,0,4,30,10,-44.4,-55.6,-20,-60,45,40,25,35,80,45,25,20,50
Douglas,35,20000,Fraud,181,195,183,148,139,152,148,5,141,439,146.3,-18.2,-22.1,-4.7,-4,905,975,915,740,695,760,740,705,731.5
Douglas,35,20000,Gambling,1,0,0,0,1,0,1,0,1,2,0.7,0,0,0,43,5,0,0,0,5,0,5,5,3.5
Douglas,35,20000,Human Trafficking,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
Douglas,35,20000,Involuntary Manslaughter,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
Douglas,35,20000,Liquor License,2,0,2,2,1,0,0,0,0,1,0.3,-100,-100,NA,-100,10,0,10,10,5,0,0,0,1.5
Douglas,35,20000,Misc Non-Index Offense,352,221,225,260,243,256,262,22,256,761,253.7,-25.6,-27.3,-2.3,1,1760,1105,1125,1300,1215,1280,1310,1280,1268.5
Douglas,35,20000,Motor Vehicle Theft,86,112,175,397,593,279,358,45,387,1230,410,316.3,350,8.1,-6,430,560,875,1985,2965,1395,1790,1935,2050
Douglas,35,20000,Murder,3,3,7,8,8,9,4,0,3,21,7,33.3,0,-25,-57,15,15,35,40,40,45,20,15,35
Douglas,35,20000,Obscenity,0,0,0,0,0,0,2,0,2,2,0.7,NA,NA,0,186,0,0,0,0,0,0,10,10,3.5
Douglas,35,20000,Offenses Against Family,9,4,11,11,11,5,6,0,4,22,7.3,-33.3,-55.6,-33.3,-45,45,20,55,55,55,25,30,20,36.5
Douglas,35,20000,Prostitution,0,0,0,0,1,1,0,0,0,2,0.7,NA,NA,NA,-100,0,0,0,0,5,5,0,0,3.5
Douglas,35,20000,Robbery,85,82,84,70,74,72,57,3,58,203,67.7,-32.9,-31.8,1.8,-14,425,410,420,350,370,360,285,290,338.5
Douglas,35,20000,Simple Assault,218,155,181,190,197,215,219,19,209,631,210.3,0.5,-4.1,-4.6,-1,1090,775,905,950,985,1075,1095,1045,1051.5
Douglas,35,20000,Simple Battery,485,380,381,391,432,459,405,33,397,1296,432,-16.5,-18.1,-2,-8,2425,1900,1905,1955,2160,2295,2025,1985,2160
Douglas,35,20000,Stolen Property,0,1,0,0,1,1,0,0,0,2,0.7,NA,NA,NA,-100,0,5,0,0,5,5,0,0,3.5
Douglas,35,20000,Theft,541,330,312,417,409,452,454,42,459,1315,438.3,-16.1,-15.2,1.1,5,2705,1650,1560,2085,2045,2260,2270,2295,2191.5
Douglas,35,20000,Theft Over $500,203,115,165,248,270,233,198,10,196,701,233.7,-2.5,-3.4,-1,-16,1015,575,825,1240,1350,1165,990,980,1168.5
Douglas,35,20000,Vandalism,214,209,212,294,383,327,344,45,366,1054,351.3,60.7,71,6.4,4,1070,1045,1060,1470,1915,1635,1720,1830,1756.5
Douglas,35,20000,Weapons Violation,50,74,80,83,102,104,77,3,74,283,94.3,54,48,-3.9,-22,250,370,400,415,510,520,385,370,471.5
Oakland,36,7000,Aggravated Assault,23,26,16,22,24,30,21,3,23,75,25,-8.7,0,9.5,-8,328.6,371.4,228.6,314.3,342.9,428.6,300,328.6,357.1
Oakland,36,7000,Aggravated Battery,19,21,27,27,25,31,19,3,19,75,25,0,0,0,-24,271.4,300,385.7,385.7,357.1,442.9,271.4,271.4,357.1
Oakland,36,7000,Arson,1,0,1,0,1,0,0,0,0,1,0.3,-100,-100,NA,-100,14.3,0,14.3,0,14.3,0,0,0,4.3
Oakland,36,7000,Burglary,18,16,15,14,7,20,22,3,24,49,16.3,22.2,33.3,9.1,47,257.1,228.6,214.3,200,100,285.7,314.3,342.9,232.9
Oakland,36,7000,Criminal Sexual Abuse,4,2,1,2,1,4,3,1,4,8,2.7,-25,0,33.3,48,57.1,28.6,14.3,28.6,14.3,57.1,42.9,57.1,38.6
Oakland,36,7000,Criminal Sexual Assault,6,6,2,8,1,3,1,1,2,5,1.7,-83.3,-66.7,100,18,85.7,85.7,28.6,114.3,14.3,42.9,14.3,28.6,24.3
Oakland,36,7000,Disorderly Conduct,4,3,3,0,3,2,4,0,4,9,3,0,0,0,33,57.1,42.9,42.9,0,42.9,28.6,57.1,57.1,42.9
Oakland,36,7000,Drug Abuse,7,6,1,3,5,3,3,0,2,11,3.7,-57.1,-71.4,-33.3,-46,100,85.7,14.3,42.9,71.4,42.9,42.9,28.6,52.9
Oakland,36,7000,Embezzlement,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,14.3,0,0,0,0,0,0,0
Oakland,36,7000,Forgery & Counterfeiting,1,0,0,3,5,1,4,0,4,10,3.3,300,300,0,21,14.3,0,0,42.9,71.4,14.3,57.1,57.1,47.1
Oakland,36,7000,Fraud,37,59,64,29,41,49,36,6,41,126,42,-2.7,10.8,13.9,-2,528.6,842.9,914.3,414.3,585.7,700,514.3,585.7,600
Oakland,36,7000,Gambling,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
