category,description,month,count,rollavg_3month
Aggravated Assault,AGG PRO.EMP: HANDGUN,2019-01-01,3,NA
Aggravated Assault,AGG PRO.EMP: HANDGUN,2019-02-01,2,NA
Aggravated Assault,AGG PRO.EMP: HANDGUN,2019-03-01,1,2
Aggravated Assault,AGG PRO.EMP: HANDGUN,2019-04-01,1,1
Aggravated Assault,AGG PRO.EMP: HANDGUN,2019-05-01,3,2
Aggravated Assault,AGG PRO.EMP: HANDGUN,2019-06-01,3,2
Aggravated Assault,AGG PRO.EMP: HANDGUN,2019-07-01,2,3
Aggravated Assault,AGG PRO.EMP: HANDGUN,2019-08-01,4,3
Aggravated Assault,AGG PRO.EMP: HANDGUN,2019-09-01,4,3
Aggravated Assault,AGG PRO.EMP: HANDGUN,2019-10-01,5,4
Aggravated Assault,AGG PRO.EMP: HANDGUN,2019-11-01,4,4
Aggravated Assault,AGG PRO.EMP: HANDGUN,2019-12-01,1,3
Aggravated Assault,AGG PRO.EMP: HANDGUN,2020-01-01,4,3
Aggravated Assault,AGG PRO.EMP: HANDGUN,2020-02-01,2,2
Aggravated Assault,AGG PRO.EMP: HANDGUN,2020-03-01,1,2
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2019-01-01,4,NA
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2019-02-01,2,NA
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2019-03-01,2,3
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2019-04-01,5,3
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2019-05-01,4,4
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2019-06-01,6,5
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2019-07-01,4,5
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2019-08-01,6,5
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2019-09-01,4,5
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2019-10-01,5,5
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2019-11-01,4,4
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2019-12-01,3,4
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2020-01-01,2,3
Aggravated Assault,AGG PRO.EMP: OTHER DANG WEAPON,2020-02-01,3,3
Aggravated Assault,AGG PRO.EMP: OTHER FIREARM,2019-01-01,1,NA
Aggravated Assault,AGG PRO.EMP: OTHER FIREARM,2019-02-01,1,NA
Aggravated Assault,AGG PRO.EMP: OTHER FIREARM,2019-03-01,1,1
Aggravated Assault,AGG PRO.EMP: OTHER FIREARM,2019-07-01,2,1
Aggravated Assault,AGG PRO.EMP: OTHER FIREARM,2019-08-01,1,1
Aggravated Assault,AGG PRO.EMP: OTHER FIREARM,2019-09-01,1,1
Aggravated Assault,AGG PRO.EMP: OTHER FIREARM,2019-10-01,1,1
Aggravated Assault,AGG PRO.EMP: OTHER FIREARM,2020-02-01,1,1
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2019-01-01,1,NA
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2019-02-01,3,NA
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2019-03-01,2,2
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2019-04-01,4,3
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2019-05-01,7,4
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2019-06-01,10,7
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2019-07-01,6,8
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2019-08-01,4,7
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2019-09-01,3,4
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2019-10-01,4,4
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2019-11-01,4,4
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2019-12-01,3,4
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2020-01-01,4,4
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2020-02-01,7,5
Aggravated Assault,AGG PRO.EMP:KNIFE/CUTTING INST,2020-03-01,1,4
Aggravated Assault,AGGRAVATED - HANDGUN,2019-01-01,13,NA
Aggravated Assault,AGGRAVATED - HANDGUN,2019-02-01,7,NA
Aggravated Assault,AGGRAVATED - HANDGUN,2019-03-01,12,11
Aggravated Assault,AGGRAVATED - HANDGUN,2019-04-01,12,10
Aggravated Assault,AGGRAVATED - HANDGUN,2019-05-01,9,11
Aggravated Assault,AGGRAVATED - HANDGUN,2019-06-01,20,14
Aggravated Assault,AGGRAVATED - HANDGUN,2019-07-01,17,15
Aggravated Assault,AGGRAVATED - HANDGUN,2019-08-01,9,15
Aggravated Assault,AGGRAVATED - HANDGUN,2019-09-01,17,14
Aggravated Assault,AGGRAVATED - HANDGUN,2019-10-01,20,15
Aggravated Assault,AGGRAVATED - HANDGUN,2019-11-01,14,17
Aggravated Assault,AGGRAVATED - HANDGUN,2019-12-01,21,18
Aggravated Assault,AGGRAVATED - HANDGUN,2020-01-01,30,22
Aggravated Assault,AGGRAVATED - HANDGUN,2020-02-01,61,37
Aggravated Assault,AGGRAVATED - HANDGUN,2020-03-01,222,104
Aggravated Assault,AGGRAVATED - HANDGUN,2020-04-01,225,169
Aggravated Assault,AGGRAVATED - HANDGUN,2020-05-01,306,251
Aggravated Assault,AGGRAVATED - HANDGUN,2020-06-01,396,309
Aggravated Assault,AGGRAVATED - HANDGUN,2020-07-01,400,367
Aggravated Assault,AGGRAVATED - HANDGUN,2020-08-01,378,391
Aggravated Assault,AGGRAVATED - HANDGUN,2020-09-01,341,373
Aggravated Assault,AGGRAVATED - HANDGUN,2020-10-01,362,360
Aggravated Assault,AGGRAVATED - HANDGUN,2020-11-01,287,330
Aggravated Assault,AGGRAVATED - HANDGUN,2020-12-01,285,311
Aggravated Assault,AGGRAVATED - HANDGUN,2021-01-01,301,291
Aggravated Assault,AGGRAVATED - HANDGUN,2021-02-01,252,279
Aggravated Assault,AGGRAVATED - HANDGUN,2021-03-01,327,293
Aggravated Assault,AGGRAVATED - HANDGUN,2021-04-01,362,314
Aggravated Assault,AGGRAVATED - HANDGUN,2021-05-01,420,370
Aggravated Assault,AGGRAVATED - HANDGUN,2021-06-01,440,407
Aggravated Assault,AGGRAVATED - HANDGUN,2021-07-01,454,438
Aggravated Assault,AGGRAVATED - HANDGUN,2021-08-01,444,446
Aggravated Assault,AGGRAVATED - HANDGUN,2021-09-01,432,443
Aggravated Assault,AGGRAVATED - HANDGUN,2021-10-01,438,438
Aggravated Assault,AGGRAVATED - HANDGUN,2021-11-01,367,412
Aggravated Assault,AGGRAVATED - HANDGUN,2021-12-01,370,392
Aggravated Assault,AGGRAVATED - HANDGUN,2022-01-01,299,345
Aggravated Assault,AGGRAVATED - HANDGUN,2022-02-01,289,319
Aggravated Assault,AGGRAVATED - HANDGUN,2022-03-01,343,310
Aggravated Assault,AGGRAVATED - HANDGUN,2022-04-01,345,326
Aggravated Assault,AGGRAVATED - HANDGUN,2022-05-01,467,385
Aggravated Assault,AGGRAVATED - HANDGUN,2022-06-01,446,419
Aggravated Assault,AGGRAVATED - HANDGUN,2022-07-01,420,444
Aggravated Assault,AGGRAVATED - HANDGUN,2022-08-01,446,437
Aggravated Assault,AGGRAVATED - HANDGUN,2022-09-01,411,426
Aggravated Assault,AGGRAVATED - HANDGUN,2022-10-01,426,428
Aggravated Assault,AGGRAVATED - HANDGUN,2022-11-01,387,408
Aggravated Assault,AGGRAVATED - HANDGUN,2022-12-01,372,395
Aggravated Assault,AGGRAVATED - HANDGUN,2023-01-01,356,372
Aggravated Assault,AGGRAVATED - HANDGUN,2023-02-01,277,335
Aggravated Assault,AGGRAVATED - HANDGUN,2023-03-01,361,331
Aggravated Assault,AGGRAVATED - HANDGUN,2023-04-01,395,344
Aggravated Assault,AGGRAVATED - HANDGUN,2023-05-01,455,404
Aggravated Assault,AGGRAVATED - HANDGUN,2023-06-01,426,425
Aggravated Assault,AGGRAVATED - HANDGUN,2023-07-01,431,437
Aggravated Assault,AGGRAVATED - HANDGUN,2023-08-01,421,426
Aggravated Assault,AGGRAVATED - HANDGUN,2023-09-01,413,422
Aggravated Assault,AGGRAVATED - HANDGUN,2023-10-01,412,415
Aggravated Assault,AGGRAVATED - HANDGUN,2023-11-01,340,388
Aggravated Assault,AGGRAVATED - HANDGUN,2023-12-01,390,381
Aggravated Assault,AGGRAVATED - HANDGUN,2024-01-01,316,349
Aggravated Assault,AGGRAVATED - HANDGUN,2024-02-01,343,350
Aggravated Assault,AGGRAVATED - HANDGUN,2024-03-01,373,344
Aggravated Assault,AGGRAVATED - HANDGUN,2024-04-01,380,365
Aggravated Assault,AGGRAVATED - HANDGUN,2024-05-01,427,393
Aggravated Assault,AGGRAVATED - HANDGUN,2024-06-01,480,429
Aggravated Assault,AGGRAVATED - HANDGUN,2024-07-01,477,461
Aggravated Assault,AGGRAVATED - HANDGUN,2024-08-01,416,458
Aggravated Assault,AGGRAVATED - HANDGUN,2024-09-01,428,440
Aggravated Assault,AGGRAVATED - HANDGUN,2024-10-01,405,416
Aggravated Assault,AGGRAVATED - HANDGUN,2024-11-01,306,380
Aggravated Assault,AGGRAVATED - HANDGUN,2024-12-01,327,346
Aggravated Assault,AGGRAVATED - HANDGUN,2025-01-01,261,298
Aggravated Assault,AGGRAVATED - HANDGUN,2025-02-01,223,270
Aggravated Assault,AGGRAVATED - HANDGUN,2025-03-01,70,185
Aggravated Assault,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,2019-01-01,1,NA
Aggravated Assault,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,2019-08-01,1,NA
Aggravated Assault,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,2019-10-01,1,1
Aggravated Assault,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,2019-12-01,2,1
Aggravated Assault,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,2020-02-01,8,4
